movie,production_budget,domestic_gross_x,worldwide_gross,studio,year
Insidious Chapter 3,10000000,52218558,120453155,Focus,2015
Entourage,30000000,32363404,46438538,WB,2015
Aloha,37000000,21052030,25387091,Sony,2015
San Andreas,110000000,155190832,456258539,WB (NL),2015
Tomorrowland,170000000,93436322,206627518,BV,2015
Mad Max: Fury Road,150000000,153636354,370098020,WB,2015
Pitch Perfect 2,29000000,184296230,287625468,Uni.,2015
Hot Pursuit,35000000,34580201,45671512,WB (NL),2015
Maggie,4500000,187112,1027760,RAtt.,2015
The D Train,3000000,669688,772366,IFC,2015
Skin Trade,9000000,1242,1242,Magn.,2015
Avengers: Age of Ultron,330600000,459005868,1403013963,BV,2015
The Water Diviner,22500000,4200117,31054727,WB,2015
Little Boy,20000000,6485961,17769299,ORF,2015
The Age of Adaline,30000000,42629776,68984536,LGF,2015
Paul Blart: Mall Cop 2,38000000,71091594,107650646,Sony,2015
Unfriended,1000000,32789645,64364198,Uni.,2015
Child 44,50000000,1224330,8004221,LG/S,2015
Desert Dancer,4000000,155271,596335,Rela.,2015
Ex Machina,13000000,25440971,38358392,A24,2015
The Longest Ride,34000000,37446117,63802928,Fox,2015
Furious 7,190000000,353007020,1518722794,Uni.,2015
Woman in Gold,11000000,33307793,58586407,Wein.,2015
Get Hard,40000000,90411453,106511453,WB,2015
While We're Young,10000000,7582065,17503828,A24,2015
Do You Believe?,2300000,12985600,14304931,PFR,2015
The Gunman,40000000,10664749,18594227,ORF,2015
Danny Collins,10000000,5637066,8465845,BST,2015
The Divergent Series: Insurgent,110000000,130179072,295075882,LG/S,2015
Run All Night,50000000,26461644,66961644,WB,2015
It Follows,2000000,14674077,23250755,RTWC,2015
The Second Best Exotic Marigold Hotel,10000000,33078266,90384306,FoxS,2015
Unfinished Business,35000000,10219501,13214051,Fox,2015
Chappie,49000000,31569268,105002056,Sony,2015
The Lazarus Effect,5000000,25801570,38359310,Rela.,2015
The DUFF,8500000,34030343,43528634,LGF,2015
Hot Tub Time Machine 2,14000000,12314651,12826644,Par.,2015
"McFarland, USA",17000000,44480275,45707924,BV,2015
Kingsman: The Secret Service,94000000,128261724,404561724,Fox,2015
Fifty Shades of Grey,40000000,166167230,570998101,Uni.,2015
Jupiter Ascending,179000000,47482519,181982519,WB,2015
Seventh Son,95000000,17725785,108874967,Uni.,2015
The SpongeBob Movie: Sponge Out of Water,74000000,162994032,311013181,Par.,2015
Black or White,9000000,21571189,21971021,Rela.,2015
Project Almanac,12000000,22348241,32909437,Par.,2015
The Boy Next Door,4000000,36006065,53401938,Uni.,2015
Mortdecai,60000000,7696134,30396134,LGF,2015
Song One,6000000,32251,437089,TFA,2015
Mommy,4900000,3498695,17536004,RAtt.,2014
The Wedding Ringer,23000000,64460211,80171596,SGem,2015
Blackhat,70000000,8005980,19665004,Uni.,2015
Still Alice,5000000,18656400,41699612,SPC,2015
Paddington,55000000,76223578,258789097,W/Dim.,2015
Selma,20000000,52076908,66776576,Par.,2014
Taken 3,48000000,89256424,327656424,Fox,2015
A Most Violent Year,20000000,5749134,8846875,A24,2014
Unbroken,65000000,115637895,163527824,Uni.,2014
American Sniper,58000000,350126372,547326372,WB,2014
Into the Woods,56200000,128002372,213116401,BV,2014
Big Eyes,10000000,14482031,27317872,Wein.,2014
Mr. Turner,14000000,3958546,25187026,SPC,2014
Night at the Museum: Secret of the Tomb,127000000,113746621,353756621,Fox,2014
The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,WB (NL),2014
Top Five,12000000,25317379,26001741,Par.,2014
Inherent Vice,20000000,8110975,14772346,WB,2014
Exodus: Gods and Kings,140000000,65014513,268314513,Fox,2014
The Gambler,25000000,33680992,38718031,Par.,2014
The Imitation Game,15000000,91125143,227740463,Wein.,2014
The Babadook,2000000,950792,7482387,IFC,2014
Penguins of Madagascar,132000000,83350911,366942531,Fox,2014
Horrible Bosses 2,40000000,54445357,105945357,WB,2014
The Hunger Games: Mockingjay - Part 1,125000000,337135885,766575131,LGF,2014
Rosewater,10000000,3128941,3185717,ORF,2014
The Homesman,16000000,2429989,8217571,Saban,2014
